eps,inc_success,dec_unsuccess,dec_success_nocase,total_case_agent_0,total_case_agent_1,rewards_agent_0,rewards_agent_1,total_steps,del_threshold,eps_status,grid_size,num_agents
0,0.1,0.31,0.5,0,0,-101,-104,5,0.1,0,8,2
1,0.1,0.31,0.5,0,9,-116,87,17,0.1,0,8,2
2,0.1,0.31,0.5,0,9,-114,90,15,0.1,0,8,2
3,0.1,0.31,0.5,0,8,-111,93,12,0.1,0,8,2
4,0.1,0.31,0.5,0,8,-149,-112,50,0.1,0,8,2
5,0.1,0.31,0.5,0,5,-103,-103,4,0.1,0,8,2
6,0.1,0.31,0.5,0,5,-146,-110,47,0.1,0,8,2
7,0.1,0.31,0.5,0,14,-107,64,37,0.1,0,8,2
8,0.1,0.31,0.5,0,8,-150,93,51,0.1,0,8,2
9,0.1,0.31,0.5,0,8,-125,94,26,0.1,0,8,2
10,0.1,0.31,0.5,0,8,-165,94,66,0.1,0,8,2
11,0.1,0.31,0.5,12,8,75,94,26,0.1,1,8,2
12,0.1,0.31,0.5,9,11,93,87,14,0.1,1,8,2
13,0.1,0.31,0.5,9,9,93,89,12,0.1,1,8,2
14,0.1,0.31,0.5,9,8,90,94,11,0.1,1,8,2
15,0.1,0.31,0.5,8,8,93,94,8,0.1,1,8,2
16,0.1,0.31,0.5,8,8,91,-104,10,0.1,0,8,2
17,0.1,0.31,0.5,8,8,93,94,8,0.1,1,8,2
18,0.1,0.31,0.5,8,7,93,93,8,0.1,1,8,2
19,0.1,0.31,0.5,8,8,93,94,8,0.1,1,8,2
20,0.1,0.31,0.5,8,7,93,93,8,0.1,1,8,2
21,0.1,0.31,0.5,11,8,86,94,15,0.1,1,8,2
22,0.1,0.31,0.5,8,8,93,94,8,0.1,1,8,2
23,0.1,0.31,0.5,9,8,84,94,17,0.1,1,8,2
24,0.1,0.31,0.5,8,7,93,93,8,0.1,1,8,2
25,0.1,0.31,0.5,8,8,93,94,8,0.1,1,8,2
26,0.1,0.31,0.5,8,8,-143,94,44,0.1,0,8,2
27,0.1,0.31,0.5,9,8,93,94,8,0.1,1,8,2
28,0.1,0.31,0.5,8,8,93,94,8,0.1,1,8,2
29,0.1,0.31,0.5,9,11,93,83,18,0.1,1,8,2
30,0.1,0.31,0.5,9,11,91,-119,20,0.1,0,8,2
31,0.1,0.31,0.5,9,8,89,93,12,0.1,1,8,2
32,0.1,0.31,0.5,8,8,93,94,8,0.1,1,8,2
33,0.1,0.31,0.5,8,8,93,94,8,0.1,1,8,2
34,0.1,0.31,0.5,9,8,91,90,11,0.1,1,8,2
35,0.1,0.31,0.5,9,8,90,93,11,0.1,1,8,2
36,0.1,0.31,0.5,8,8,93,94,8,0.1,1,8,2
37,0.1,0.31,0.5,8,8,93,94,8,0.1,1,8,2
38,0.1,0.31,0.5,8,8,93,94,8,0.1,1,8,2
39,0.1,0.31,0.5,8,8,91,94,10,0.1,1,8,2
40,0.1,0.31,0.5,9,8,93,92,9,0.1,1,8,2
41,0.1,0.31,0.5,8,7,93,92,9,0.1,1,8,2
42,0.1,0.31,0.5,8,8,92,94,9,0.1,1,8,2
43,0.1,0.31,0.5,8,8,93,94,8,0.1,1,8,2
44,0.1,0.31,0.5,9,7,92,91,10,0.1,1,8,2
45,0.1,0.31,0.5,9,7,-106,94,7,0.1,0,8,2
46,0.1,0.31,0.5,8,8,93,94,8,0.1,1,8,2
47,0.1,0.31,0.5,8,8,92,94,9,0.1,1,8,2
48,0.1,0.31,0.5,8,8,93,94,8,0.1,1,8,2
49,0.1,0.31,0.5,8,8,93,-103,8,0.1,0,8,2
50,0.1,0.31,0.5,8,8,93,-103,8,0.1,0,8,2
51,0.1,0.31,0.5,12,5,85,-105,16,0.1,0,8,2
52,0.1,0.31,0.5,12,3,88,-116,17,0.1,0,8,2
53,0.1,0.31,0.5,12,3,-106,-114,15,0.1,0,8,2
54,0.1,0.31,0.5,9,3,93,-117,18,0.1,0,8,2
55,0.1,0.31,0.5,9,11,92,78,23,0.1,1,8,2
56,0.1,0.31,0.5,9,9,93,92,9,0.1,1,8,2
57,0.1,0.31,0.5,10,9,92,91,10,0.1,1,8,2
58,0.1,0.31,0.5,9,9,93,92,9,0.1,1,8,2
59,0.1,0.31,0.5,9,9,93,92,9,0.1,1,8,2
60,0.1,0.31,0.5,9,9,93,92,9,0.1,1,8,2
61,0.1,0.31,0.5,9,9,93,92,9,0.1,1,8,2
62,0.1,0.31,0.5,9,9,92,92,9,0.1,1,8,2
63,0.1,0.31,0.5,9,9,93,92,9,0.1,1,8,2
64,0.1,0.31,0.5,8,10,93,94,8,0.1,1,8,2
65,0.1,0.31,0.5,8,8,93,94,8,0.1,1,8,2
66,0.1,0.31,0.5,8,8,93,94,8,0.1,1,8,2
67,0.1,0.31,0.5,8,8,93,93,8,0.1,1,8,2
68,0.1,0.31,0.5,8,8,92,94,9,0.1,1,8,2
69,0.1,0.31,0.5,9,8,90,94,11,0.1,1,8,2
70,0.1,0.31,0.5,8,8,92,93,9,0.1,1,8,2
71,0.1,0.31,0.5,8,8,91,94,10,0.1,1,8,2
72,0.1,0.31,0.5,8,8,93,94,8,0.1,1,8,2
73,0.1,0.31,0.5,8,8,93,94,8,0.1,1,8,2
74,0.1,0.31,0.5,8,8,-106,93,8,0.1,0,8,2
75,0.1,0.31,0.5,9,7,93,92,9,0.1,1,8,2
76,0.1,0.31,0.5,9,7,93,92,9,0.1,1,8,2
77,0.1,0.31,0.5,8,8,93,94,8,0.1,1,8,2
78,0.1,0.31,0.5,8,8,93,94,8,0.1,1,8,2
79,0.1,0.31,0.5,8,8,92,94,9,0.1,1,8,2
80,0.1,0.31,0.5,8,8,93,94,8,0.1,1,8,2
81,0.1,0.31,0.5,9,9,93,89,12,0.1,1,8,2
82,0.1,0.31,0.5,8,8,93,94,8,0.1,1,8,2
83,0.1,0.31,0.5,8,8,93,94,8,0.1,1,8,2
84,0.1,0.31,0.5,8,8,93,94,8,0.1,1,8,2
85,0.1,0.31,0.5,8,8,93,93,8,0.1,1,8,2
86,0.1,0.31,0.5,8,8,92,94,9,0.1,1,8,2
87,0.1,0.31,0.5,8,8,93,94,8,0.1,1,8,2
88,0.1,0.31,0.5,8,7,-104,94,7,0.1,0,8,2
89,0.1,0.31,0.5,8,8,93,94,8,0.1,1,8,2
90,0.1,0.31,0.5,8,8,93,-106,8,0.1,0,8,2
91,0.1,0.31,0.5,8,7,93,93,8,0.1,1,8,2
92,0.1,0.31,0.5,8,7,-106,94,7,0.1,0,8,2
93,0.1,0.31,0.5,8,8,93,94,8,0.1,1,8,2
94,0.1,0.31,0.5,8,7,93,94,8,0.1,1,8,2
95,0.1,0.31,0.5,8,8,92,93,9,0.1,1,8,2
96,0.1,0.31,0.5,9,7,93,92,9,0.1,1,8,2
97,0.1,0.31,0.5,9,7,88,-103,13,0.1,0,8,2
98,0.1,0.31,0.5,8,8,93,94,8,0.1,1,8,2
99,0.1,0.31,0.5,8,8,-102,-102,3,0.1,0,8,2
100,0.1,0.31,0.5,8,7,-102,-102,3,0.1,0,8,2
101,0.1,0.31,0.5,5,5,-102,-106,7,0.1,0,8,2
102,0.1,0.31,0.5,5,5,-112,-116,17,0.1,0,8,2
103,0.1,0.31,0.5,5,5,-103,-121,22,0.1,0,8,2
104,0.1,0.31,0.5,5,5,-108,-106,9,0.1,0,8,2
105,0.1,0.31,0.5,5,5,-116,-112,17,0.1,0,8,2
106,0.1,0.31,0.5,3,5,-125,-363,264,0.1,0,8,2
107,0.1,0.31,0.5,2,5,-160,-236,137,0.1,0,8,2
108,0.1,0.31,0.5,2,5,-112,-154,55,0.1,0,8,2
109,0.1,0.31,0.5,2,5,-129,-183,84,0.1,0,8,2
110,0.1,0.31,0.5,2,4,-133,-110,34,0.1,0,8,2
111,0.1,0.31,0.5,2,4,-142,-191,92,0.1,0,8,2
112,0.1,0.31,0.5,2,4,-130,-147,48,0.1,0,8,2
113,0.1,0.31,0.5,2,4,-158,-165,66,0.1,0,8,2
